Sub District Code,Granularity,Name,Type,villages_Inhabited,villages_Uninhabited,towns,households,Persons,Males,Females,Area,Density
61,SUB-DISTRICT,Damhal Hanjipora,Total,0,0,0,"19,104","9,765","5,529","4,236",124.64,857
61,SUB-DISTRICT,Damhal Hanjipora,Rural,50,2,0,"19,104","1,06,817","54,953","51,864",124.64,857
61,SUB-DISTRICT,Damhal Hanjipora,Urban,50,2,0,0,"1,06,817","54,953","51,864",0,0
0,DISTRICT,Doda,Total,0,0,2,"79,636",0,0,0,8912,46
0,DISTRICT,Doda,Rural,402,4,0,"72,917","4,09,936","2,13,641","1,96,295",8892.25,42
0,DISTRICT,Doda,Urban,402,4,2,"6,719","3,77,247","1,95,430","1,81,817",19.75,"1,655"
62,SUB-DISTRICT,Doda,Total,0,0,1,"41,297","32,689","18,211","14,478",1023.61,198
62,SUB-DISTRICT,Doda,Rural,126,1,0,"36,700","2,02,716","1,06,209","96,507",1009.36,179
62,SUB-DISTRICT,Doda,Urban,126,1,1,"4,597","1,81,111","93,703","87,408",14.25,"1,516"
63,SUB-DISTRICT,Thathri,Total,0,0,0,"11,129","21,605","12,506","9,099",123.54,485
63,SUB-DISTRICT,Thathri,Rural,92,1,0,"11,129","59,955","31,627","28,328",123.54,485
63,SUB-DISTRICT,Thathri,Urban,92,1,0,0,"59,955","31,627","28,328",0,0
64,SUB-DISTRICT,Gandoh,Total,0,0,0,"13,216",0,0,0,105.08,684
64,SUB-DISTRICT,Gandoh,Rural,66,1,0,"13,216","71,889","36,754","35,135",105.08,684
64,SUB-DISTRICT,Gandoh,Urban,66,1,0,0,"71,889","36,754","35,135",0,0
65,SUB-DISTRICT,Bhaderwah,Total,0,0,1,"13,994",0,0,0,112.17,672
65,SUB-DISTRICT,Bhaderwah,Rural,118,1,0,"11,872","75,376","39,051","36,325",106.67,603
65,SUB-DISTRICT,Bhaderwah,Urban,118,1,1,"2,122","64,292","33,346","30,946",5.5,"2,015"
0,DISTRICT,Ramban,Total,0,0,3,"55,490","11,084","5,705","5,379",1329,213
0,DISTRICT,Ramban,Rural,127,2,0,"53,328","2,83,713","1,49,132","1,34,581",1313.92,207
0,DISTRICT,Ramban,Urban,127,2,3,"2,162","2,71,902","1,42,317","1,29,585",15.08,783
66,SUB-DISTRICT,Banihal,Total,0,0,1,"25,018","11,811","6,815","4,996",563.08,222
66,SUB-DISTRICT,Banihal,Rural,33,1,0,"24,373","1,25,045","64,992","60,053",559.01,217
66,SUB-DISTRICT,Banihal,Urban,33,1,1,645,"1,21,145","62,539","58,606",4.07,958
67,SUB-DISTRICT,Ramban,Total,0,0,2,"30,472","3,900","2,453","1,447",765.96,207
